time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 21:36:33.953,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ADF00000332000D840100
Oct 29 21:36:34.027,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.027,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:34.028,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AE000000332000D840100
Oct 29 21:36:34.102,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.103,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AE000000332000D840100
Oct 29 21:36:34.177,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:34.177,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.178,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AE000000332000D840100
Oct 29 21:36:34.252,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.253,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AE000000332000D840100
Oct 29 21:36:34.290,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:34.327,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.328,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ADA0000033200D50F0100
Oct 29 21:36:34.402,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.402,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:34.403,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AD50000033200D50F0100
Oct 29 21:36:34.477,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.478,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AD100000332000D840100
Oct 29 21:36:34.552,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:34.552,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.553,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AD000000332000D840100
Oct 29 21:36:34.627,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.628,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACF00000332000D840100
Oct 29 21:36:34.665,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:34.702,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.740,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACF00000332000D840100
Oct 29 21:36:34.778,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:34.815,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.816,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACF00000332000D840100
Oct 29 21:36:34.889,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.890,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:34.908,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACF00000332000D840100
Oct 29 21:36:34.965,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:34.968,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACF00000332000D840100
Oct 29 21:36:35.077,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:35.077,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:35.093,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACE0000033200D50F0100
Oct 29 21:36:35.152,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:35.153,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
