time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 28 09:43:28.663,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:28.776,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:28.821,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,004C00000001
Oct 28 09:43:28.888,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:28.888,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,004C00000130
Oct 28 09:43:28.888,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:28.963,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:28.964,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,004C000001B8
Oct 28 09:43:29.001,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:29.038,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:29.039,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,004C0000020E
Oct 28 09:43:29.113,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:29.114,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,004C00000217
Oct 28 09:43:29.151,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:29.188,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:29.189,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,004C00000217
Oct 28 09:43:29.263,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:29.263,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:29.375,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:29.488,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:29.600,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:29.750,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:29.863,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:29.975,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:30.088,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:30.238,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:30.350,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:30.463,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:30.575,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:30.688,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:30.800,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:30.950,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:31.063,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:31.137,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D00000480000A0000000D
Oct 28 09:43:31.176,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:31.213,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:31.214,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D0000048000100000000D
Oct 28 09:43:31.288,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:31.288,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:31.289,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D00000480001300000029
Oct 28 09:43:31.363,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:31.364,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D0000048000140000000D
Oct 28 09:43:31.401,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:31.438,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:31.439,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D00000480001700000029
Oct 28 09:43:31.513,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:31.514,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D00000480002A00000029
Oct 28 09:43:31.551,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:31.588,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
