time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 21:52:29.775,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:29.776,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:29.777,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01100400000000000000000000000000
Oct 29 21:52:29.850,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:29.869,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01140400000000000000000000000000
Oct 29 21:52:29.888,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:29.925,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:29.927,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01180400000000000000000000000000
Oct 29 21:52:30.000,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.001,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:30.004,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,011C0400000000000000000000000000
Oct 29 21:52:30.075,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.078,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01200400000000000000000000000000
Oct 29 21:52:30.150,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:30.151,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.154,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01240400000000000000000000000000
Oct 29 21:52:30.225,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.227,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01280400000000000000000000000000
Oct 29 21:52:30.263,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:30.301,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.302,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,012C0400000000000000000000000000
Oct 29 21:52:30.375,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.376,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:30.377,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01300400000000000000000000000000
Oct 29 21:52:30.450,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.453,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01340400000000000000000000000000
Oct 29 21:52:30.488,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:30.525,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.527,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01380400000000000000000000000000
Oct 29 21:52:30.600,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.601,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:30.603,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,013C0400000000000000000000000000
Oct 29 21:52:30.675,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.677,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01400400000000000000000000000000
Oct 29 21:52:30.750,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:30.751,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.754,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01440400000000000000000000000000
Oct 29 21:52:30.825,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:30.827,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,01480400000000000000000000000000
Oct 29 21:52:30.863,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
