time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 22:07:39.383,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:39.387,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02080400000000000000000000000000
Oct 29 22:07:39.458,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:39.460,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,020C0400000000000000000000000000
Oct 29 22:07:39.496,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:39.533,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:39.535,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02100400000000000000000000000000
Oct 29 22:07:39.608,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:39.608,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:39.611,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02140400000000000000000000000000
Oct 29 22:07:39.683,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:39.685,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02180400000000000000000000000000
Oct 29 22:07:39.721,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:39.758,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:39.760,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,021C0400000000000000000000000000
Oct 29 22:07:39.833,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:39.833,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:39.837,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02200400000000000000000000000000
Oct 29 22:07:39.908,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:39.910,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02240400000000000000000000000000
Oct 29 22:07:39.983,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:39.983,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:39.985,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02280400000000000000000000000000
Oct 29 22:07:40.058,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.060,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,022C0400000000000000000000000000
Oct 29 22:07:40.096,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:40.133,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.136,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02300400000000000000000000000000
Oct 29 22:07:40.208,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.208,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:40.210,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02340400000000000000000000000000
Oct 29 22:07:40.283,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.286,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02380400000000000000000000000000
Oct 29 22:07:40.321,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:40.358,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.361,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,023C0400000000000000000000000000
Oct 29 22:07:40.433,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.433,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:40.435,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02400400000000000000000000000000
Oct 29 22:07:40.508,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.510,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02440400000000000000000000000000
Oct 29 22:07:40.583,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:40.583,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.588,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02480400000000000000000000000000
Oct 29 22:07:40.658,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.660,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,024C0400000000000000000000000000
Oct 29 22:07:40.696,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:40.733,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
